V10,Q1,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q9,Q10,Q11_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5
Finished,Do you know what Pokémon Go is?,Has Pokémon Go incited you to walk more?,"Have you been socializing more with friends, family, coworkers, or strangers since you started pl...-No","Have you been socializing more with friends, family, coworkers, or strangers since you started pl...-Yes, I have been talking more about this game with others","Have you been socializing more with friends, family, coworkers, or strangers since you started pl...-Yes, I have been going out Pokémon hunting with people I know","Have you been socializing more with friends, family, coworkers, or strangers since you started pl...-Yes, I have chatted with other Pokémon hunters that I had never met","Have you been socializing more with friends, family, coworkers, or strangers since you started pl...-Yes, I have made a friend or two since I started playing this game","On a typical day, how much time did you spend playing video games before and after you downloaded...-Before downloading Pokémon Go","On a typical day, how much time did you spend playing video games before and after you downloaded...-After downloading Pokémon Go",How long ago did you install Pokémon Go (in number of days)?,How has your Pokémon Go playing changed over time?,"Overall, how would you rate the game (100 being the best grade)?-Grade",How often do you partake in the following activities (in hours/day)?-Watching TV,How often do you partake in the following activities (in hours/day)?-Reading Newspapers,How often do you partake in the following activities (in hours/day)?-Reading Books,How often do you partake in the following activities (in hours/day)?-Browsing Social Media,How often do you partake in the following activities (in hours/day)?-Doing sports,How often do you partake in the following activities (in hours/day)?-Playing video games,"Do you play board games (Monopoly, Settlers of Catan, etc.)?",What is your gender?
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,,,,2,1,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,,1,2,2,1,,Less than once a month,Male
1,"Yes, I have installed this game","No, I have not walked more than I used to",,"Yes, I have been talking more about this game with others",,,,2,2,30,I do not play this game anymore,55,0,1,,0,1,2,Once a week,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,0,1,1,2,1,,Less than once a month,Female
1,"Yes, I have installed this game","No, I have not walked more than I used to",,"Yes, I have been talking more about this game with others",,,,1,1,60,I am playing the game less than I used to,60,2,,,2,1,1,Less than once a month,Male
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,,"Yes, I have been going out Pokémon hunting with people I know",,,3,6,61,I do not play this game anymore,60,1,2,,3,1,1,Less than once a month,Male
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,"Yes, I have been talking more about this game with others",,,,1,1,10,I do not play this game anymore,65,0,1,1,2,1,0,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,2,1,2,1,,Once a month,Male
1,"Yes, I have installed this game","Yes, I have walked significantly more than I used to",,,,,"Yes, I have made a friend or two since I started playing this game",2,6,30,I do not play this game anymore,30,,,,1,,1,Once a week,Female
1,"Yes, I have installed this game","No, I have not walked more than I used to",No,,,,,1,1,30,I do not play this game anymore,75,0,1,1,2,1,0,Once a month,Male
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,2,1,1,3,1,1,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,,1,1,1,1,,Once a month,Female
1,"Yes, I have installed this game","No, I have not walked more than I used to",,"Yes, I have been talking more about this game with others","Yes, I have been going out Pokémon hunting with people I know",,,4,4,60,I am playing the game less than I used to,20,,,,,,,Once a month,Male
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,"Yes, I have been talking more about this game with others","Yes, I have been going out Pokémon hunting with people I know",,,2,2,60,I do not play this game anymore,60,,,1,1,1,1,Once a month,Male
1,"Yes, I have installed this game","No, I have not walked more than I used to",,,"Yes, I have been going out Pokémon hunting with people I know","Yes, I have chatted with other Pokémon hunters that I had never met",,2,3,60,I am playing the game less than I used to,59,1,0,1,1,1,1,Less than once a month,Male
1,"Yes, I have installed this game","No, I have not walked more than I used to",,"Yes, I have been talking more about this game with others",,,,0,0,40,I do not play this game anymore,80,,0,,0,0,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,2,,,3,2,0,Once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,0,,1,1,1,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,1,1,1,1,,Once a week,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,2,1,1,1,0,Less than once a month,Male
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,,"Yes, I have been going out Pokémon hunting with people I know",,,1,1,56,I am playing the game less than I used to,60,1,,1,1,,1,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,0,2,2,4,2,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,0,1,1,1,3,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,,1,1,1,1,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,,,1,2,1,,Once a week,Male
1,"Yes, I have installed this game","No, I have not walked more than I used to",,,"Yes, I have been going out Pokémon hunting with people I know","Yes, I have chatted with other Pokémon hunters that I had never met",,1,1,60,I am playing the game less than I used to,40,,1,1,2,1,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,,1,1,2,1,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,2,1,2,,1,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,,,,,,,Less than once a month,Female
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,"Yes, I have been talking more about this game with others",,,,,1,30,I am playing the game less than I used to,40,3,,,1,,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,2,1,,4,,,Less than once a month,Female
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,,,"Yes, I have chatted with other Pokémon hunters that I had never met",,0,2,60,I do not play this game anymore,70,0,1,,2,,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,0,2,1,4,4,0,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,,0,2,,2,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,7,14,14,24,14,2,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,3,2,1,,,Less than once a month,Male
1,"Yes, I have installed this game","Yes, I have walked significantly more than I used to",,,,,"Yes, I have made a friend or two since I started playing this game",,10,30,I am playing the game less than I used to,83,,5,3,8,5,,Once a month,Male
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,"Yes, I have been talking more about this game with others",,,,2,2,31,I still play the game about as much as I did before,65,2,,,1,,2,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,,1,5,1,1,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,,3,1,,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,2,,,3,1,,Once a month,Female
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,,"Yes, I have been going out Pokémon hunting with people I know",,,,0,65,I am playing the game less than I used to,70,0,1,1,3,,,Once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,,2,1,2,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,1,1,2,0,1,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,,0,3,1,,Less than once a month,Male
1,"Yes, I have installed this game","Yes, I have walked a little bit more than I used to",,"Yes, I have been talking more about this game with others",,,,2,3,45,I am playing the game less than I used to,85,0,1,1,1,1,1,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,2,1,1,1,1,0,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,,,,3,,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,,1,,2,0,,Less than once a month,Male
1,"Yes, I have installed this game","No, I have not walked more than I used to",No,,,,,5,5,30,I do not play this game anymore,80,0,1,1,2,1,,Less than once a month,Male
1,"Yes, I have installed this game","No, I have not walked more than I used to",No,,,,,3,5,60,I do not play this game anymore,70,0,0,0,3,2,1,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,1,1,1,2,1,0,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,2,,,,2,1,Once a month,Male
1,"Yes, I have installed this game","No, I have not walked more than I used to",No,,,,,,1,60,I do not play this game anymore,84,1,,,2,2,,Less than once a month,Female
1,"Yes, I have installed this game","No, I have not walked more than I used to",No,,,,,,,30,I do not play this game anymore,91,,1,1,1,0,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,2,1,,1,1,,Less than once a month,Female
1,"Yes, I have heard of it but I have not used it although it is available in my country",,,,,,,,,,,,0,1,1,2,1,,Less than once a month,Male
1,"Yes, I have heard of it but I have not used it because it is not available in my country",,,,,,,,,,,,2,1,,2,1,,Less than once a month,Female
1,"Yes, I have installed this game","No, I have not walked more than I used to",,"Yes, I have been talking more about this game with others",,,,7,,30,I am playing the game less than I used to,74,2,1,,2,1,,Once a month,Male
